,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
94,0000950170-22-026539,2022-12-14,2022-10-12,2022-12-14T16:12:06.000Z,34,8-K/A,001-39537,221462252,"2.05,2.06",XBRL,173897,1,1,lsf-20221012.htm,8-K/A
95,0000950170-22-024502,2022-11-10,2022-09-30,2022-11-10T16:22:07.000Z,34,10-Q,001-39537,221377594,,XBRL,16675172,1,1,lsf-20220930.htm,10-Q
96,0000950170-22-024428,2022-11-10,2022-11-10,2022-11-10T16:00:52.000Z,34,8-K,001-39537,221376872,"2.02,9.01",XBRL,1336989,1,1,lsf-20221110.htm,8-K
99,0001193125-22-261295,2022-10-12,2022-10-12,2022-10-12T16:06:05.000Z,34,8-K,001-39537,221306915,"2.05,7.01,9.01",XBRL,168085,1,1,d367922d8k.htm,8-K
102,0000950170-22-018042,2022-09-01,2022-09-01,2022-09-01T16:47:31.000Z,34,8-K,001-39537,221221467,"1.01,9.01",XBRL,232416,1,1,lsf-20220901.htm,8-K
103,0001193125-22-222809,2022-08-17,2022-08-17,2022-08-17T08:00:55.000Z,34,8-K,001-39537,221172120,"7.01,9.01",XBRL,163361,1,1,d392460d8k.htm,8-K
105,0000950170-22-016837,2022-08-11,2022-06-30,2022-08-11T16:02:24.000Z,34,10-Q,001-39537,221155565,,XBRL,15795975,1,1,lsf-20220630.htm,10-Q
106,0001193125-22-217427,2022-08-10,2022-08-10,2022-08-10T16:45:57.000Z,34,8-K,001-39537,221152415,"2.02,9.01",XBRL,402902,1,1,d375469d8k.htm,8-K
111,0001193125-22-159188,2022-05-25,2022-05-19,2022-05-25T09:14:34.000Z,34,8-K,001-39537,22959418,1.02,XBRL,142289,1,1,d297853d8k.htm,8-K
112,0001193125-22-153587,2022-05-18,2022-05-13,2022-05-18T07:44:55.000Z,34,8-K,001-39537,22937058,"5.02,7.01,9.01",XBRL,197391,1,1,d363254d8k.htm,8-K
113,0000950170-22-009728,2022-05-12,2022-03-31,2022-05-12T16:36:16.000Z,34,10-Q,001-39537,22918468,,XBRL,11834763,1,1,lsf-20220331.htm,10-Q
114,0001193125-22-148658,2022-05-12,2022-05-12,2022-05-12T16:17:37.000Z,34,8-K,001-39537,22918045,"2.02,9.01",XBRL,336073,1,1,d491310d8k.htm,8-K
115,0001193125-22-147757,2022-05-12,2021-12-31,2022-05-11T20:41:59.000Z,34,10-K/A,001-39537,22915340,,XBRL,294607,1,1,d319997d10ka.htm,10-K/A
122,0001193125-22-144326,2022-05-09,2022-05-05,2022-05-09T08:01:00.000Z,34,8-K,001-39537,22903294,5.07,XBRL,153173,1,1,d296602d8k.htm,8-K
123,0001193125-22-104437,2022-04-13,2022-04-08,2022-04-13T17:13:59.000Z,34,8-K,001-39537,22825363,"5.02,9.01",XBRL,173396,1,1,d349711d8k.htm,8-K
128,0001193125-22-095148,2022-04-04,2022-04-04,2022-04-04T16:40:38.000Z,34,8-K,001-39537,22802989,"7.01,9.01",XBRL,152200,1,1,d318055d8k.htm,8-K
133,0000950170-22-003138,2022-03-08,2021-12-31,2022-03-08T16:35:44.000Z,34,10-K,001-39537,22722192,,XBRL,16625883,1,1,lsf-20211231.htm,10-K
134,0001193125-22-069299,2022-03-08,2022-03-08,2022-03-08T16:15:39.000Z,34,8-K,001-39537,22721926,"2.02,9.01",XBRL,385717,1,1,d505960d8k.htm,8-K
143,0001193125-22-023459,2022-01-31,2022-01-28,2022-01-31T16:59:10.000Z,34,8-K,001-39537,22574778,"2.02,5.02,9.01",XBRL,313920,1,1,d243253d8k.htm,8-K
